"child_id","timepoint","time_months","age_baseline","age_at_visit","iq","ses","intervention","post_intervention","working_memory_score","time_centered","time_scaled"
"1","1",0,11.6592241739854,11.6592241739854,122.960158504559,0.955935648630651,"1",0,108.886124528376,-9,0
"1","2",3,11.6592241739854,11.9092241739854,122.960158504559,0.955935648630651,"1",1,114.418251767106,-6,1
"1","3",6,11.6592241739854,12.1592241739854,122.960158504559,0.955935648630651,"1",1,139.033548964148,-3,2
"1","4",9,11.6592241739854,12.4092241739854,122.960158504559,0.955935648630651,"1",1,130.871446638288,0,3
"1","5",12,11.6592241739854,12.6592241739854,122.960158504559,0.955935648630651,"1",1,150.312990149976,3,4
"1","6",18,11.6592241739854,13.1592241739854,122.960158504559,0.955935648630651,"1",1,136.948292515895,9,6
"2","1",0,11.6229525236413,11.6229525236413,98.0001799540951,0.635950398070074,"0",0,97.1414926318148,-9,0
"2","2",3,11.6229525236413,11.8729525236413,98.0001799540951,0.635950398070074,"0",0,102.160563969606,-6,1
"3","1",0,11.8941596550867,11.8941596550867,97.4212396636057,1.2146746991726,"1",0,111.672775082536,-9,0
"3","2",3,11.8941596550867,12.1441596550867,97.4212396636057,1.2146746991726,"1",1,120.785675600391,-6,1
"3","3",6,11.8941596550867,12.3941596550867,97.4212396636057,1.2146746991726,"1",1,118.2948855575,-3,2
"3","4",9,11.8941596550867,12.6441596550867,97.4212396636057,1.2146746991726,"1",1,124.727012763537,0,3
"3","5",12,11.8941596550867,12.8941596550867,97.4212396636057,1.2146746991726,"1",1,112.15189460834,3,4
"3","6",18,11.8941596550867,13.3941596550867,97.4212396636057,1.2146746991726,"1",1,123.67549850374,9,6
"4","1",0,8.17195518407971,8.17195518407971,83.8274594645041,-0.0516631124724741,"1",0,77.6196320785112,-9,0
"4","2",3,8.17195518407971,8.42195518407971,83.8274594645041,-0.0516631124724741,"1",1,89.5623447299926,-6,1
"4","3",6,8.17195518407971,8.67195518407971,83.8274594645041,-0.0516631124724741,"1",1,83.8964548569493,-3,2
"4","4",9,8.17195518407971,8.92195518407971,83.8274594645041,-0.0516631124724741,"1",1,84.721799559224,0,3
"5","1",0,8.83427982777357,8.83427982777357,122.481640609492,0.625243286021735,"1",0,102.288239193751,-9,0
"5","2",3,8.83427982777357,9.08427982777357,122.481640609492,0.625243286021735,"1",1,130.069633195597,-6,1
"5","3",6,8.83427982777357,9.33427982777357,122.481640609492,0.625243286021735,"1",1,124.850426654807,-3,2
"5","4",9,8.83427982777357,9.58427982777357,122.481640609492,0.625243286021735,"1",1,131.690413523411,0,3
"5","5",12,8.83427982777357,9.83427982777357,122.481640609492,0.625243286021735,"1",1,127.8007970046,3,4
"6","1",0,9.42266381531954,9.42266381531954,104.27324430296,-0.367234642740975,"1",0,113.178320788717,-9,0
"6","2",3,9.42266381531954,9.67266381531954,104.27324430296,-0.367234642740975,"1",1,123.629982789135,-6,1
"6","3",6,9.42266381531954,9.92266381531954,104.27324430296,-0.367234642740975,"1",1,127.594631935626,-3,2
"6","4",9,9.42266381531954,10.1726638153195,104.27324430296,-0.367234642740975,"1",1,125.094730183157,0,3
"6","5",12,9.42266381531954,10.4226638153195,104.27324430296,-0.367234642740975,"1",1,120.261667204234,3,4
"6","6",18,9.42266381531954,10.9226638153195,104.27324430296,-0.367234642740975,"1",1,116.893158215269,9,6
"7","1",0,10.934111838229,10.934111838229,113.572912575662,1.59568403496008,"0",0,113.785058753533,-9,0
"7","2",3,10.934111838229,11.184111838229,113.572912575662,1.59568403496008,"0",0,97.6570837464248,-6,1
"7","3",6,10.934111838229,11.434111838229,113.572912575662,1.59568403496008,"0",0,123.148359178324,-3,2
"7","4",9,10.934111838229,11.684111838229,113.572912575662,1.59568403496008,"0",0,111.171552391505,0,3
"7","5",12,10.934111838229,11.934111838229,113.572912575662,1.59568403496008,"0",0,115.267777744703,3,4
"7","6",18,10.934111838229,12.434111838229,113.572912575662,1.59568403496008,"0",0,111.102836913983,9,6
"8","1",0,9.64748828485608,9.64748828485608,96.7429023138022,-0.182756706331922,"1",0,107.658018911774,-9,0
"8","2",3,9.64748828485608,9.89748828485608,96.7429023138022,-0.182756706331922,"1",1,117.615070130042,-6,1
"8","3",6,9.64748828485608,10.1474882848561,96.7429023138022,-0.182756706331922,"1",1,121.302080589166,-3,2
"8","4",9,9.64748828485608,10.3974882848561,96.7429023138022,-0.182756706331922,"1",1,110.046119800511,0,3
"8","5",12,9.64748828485608,10.6474882848561,96.7429023138022,-0.182756706331922,"1",1,105.452993441143,3,4
"8","6",18,9.64748828485608,11.1474882848561,96.7429023138022,-0.182756706331922,"1",1,117.644950926281,9,6
"9","1",0,10.9727508788928,10.9727508788928,109.251945601327,0.0429042307597339,"0",0,86.303305381647,-9,0
"9","2",3,10.9727508788928,11.2227508788928,109.251945601327,0.0429042307597339,"0",0,96.873754364225,-6,1
"10","1",0,9.80524340085685,9.80524340085685,114.840311036761,-0.376290756562357,"1",0,95.0877907862445,-9,0
"10","2",3,9.80524340085685,10.0552434008569,114.840311036761,-0.376290756562357,"1",1,101.131537664549,-6,1
"10","3",6,9.80524340085685,10.3052434008569,114.840311036761,-0.376290756562357,"1",1,105.64340472471,-3,2
"10","4",9,9.80524340085685,10.5552434008569,114.840311036761,-0.376290756562357,"1",1,93.3907691847316,0,3
"10","5",12,9.80524340085685,10.8052434008569,114.840311036761,-0.376290756562357,"1",1,96.651210380376,3,4
"10","6",18,9.80524340085685,11.3052434008569,114.840311036761,-0.376290756562357,"1",1,109.852130465203,9,6
"11","1",0,10.2457518260926,10.2457518260926,77.9434638784481,0.124702386197007,"0",0,80.3563406605977,-9,0
"11","2",3,10.2457518260926,10.4957518260926,77.9434638784481,0.124702386197007,"0",0,72.2069146016191,-6,1
"11","3",6,10.2457518260926,10.7457518260926,77.9434638784481,0.124702386197007,"0",0,88.6428556127659,-3,2
"11","4",9,10.2457518260926,10.9957518260926,77.9434638784481,0.124702386197007,"0",0,99.3165614953056,0,3
"11","5",12,10.2457518260926,11.2457518260926,77.9434638784481,0.124702386197007,"0",0,113.599460010853,3,4
"11","6",18,10.2457518260926,11.7457518260926,77.9434638784481,0.124702386197007,"0",0,117.67164215921,9,6
"12","1",0,11.7001835638657,11.7001835638657,118.141640776795,0.790388149166713,"0",0,112.781065736796,-9,0
"12","2",3,11.7001835638657,11.9501835638657,118.141640776795,0.790388149166713,"0",0,100.219346316067,-6,1
"12","3",6,11.7001835638657,12.2001835638657,118.141640776795,0.790388149166713,"0",0,107.418318486171,-3,2
